# Per-epoch training curves for the three 100-epoch bounded-rotation runs at P=32.
# Source: SLURM stdout on the DoC NFS home, ~/msc_thesis/RoPART/in100-rotb{30,60,90}-p32-ss-wphi01_<job>.out
# All ViT-B/32 @ 224, IN-100, supersample x4, --w-phi 0.1, variance balancing, 100 epochs, cosine to min_lr.
range_deg,job,epoch,lr,train_loss
60,264914,59,2.03e-04,0.2484
60,264914,60,1.95e-04,0.2446
60,264914,61,1.87e-04,0.2415
60,264914,62,1.79e-04,0.2360
60,264914,63,1.72e-04,0.2327
60,264914,64,1.64e-04,0.2279
60,264914,65,1.57e-04,0.2250
60,264914,66,1.49e-04,0.2217
60,264914,67,1.42e-04,0.2182
60,264914,68,1.35e-04,0.2146
60,264914,69,1.28e-04,0.2112
60,264914,70,1.21e-04,0.2076
60,264914,71,1.14e-04,0.2045
60,264914,72,1.08e-04,0.2014
60,264914,73,1.01e-04,0.1984
60,264914,74,9.51e-05,0.1952
60,264914,75,8.91e-05,0.1927
60,264914,76,8.32e-05,0.1898
60,264914,77,7.75e-05,0.1869
60,264914,78,7.20e-05,0.1842
60,264914,79,6.67e-05,0.1812
60,264914,80,6.17e-05,0.1794
60,264914,81,5.68e-05,0.1775
60,264914,82,5.21e-05,0.1746
60,264914,83,4.77e-05,0.1731
60,264914,84,4.35e-05,0.1701
60,264914,85,3.95e-05,0.1690
60,264914,86,3.58e-05,0.1668
60,264914,87,3.23e-05,0.1656
60,264914,88,2.90e-05,0.1636
60,264914,89,2.60e-05,0.1623
60,264914,90,2.33e-05,0.1611
60,264914,91,2.08e-05,0.1597
60,264914,92,1.85e-05,0.1587
60,264914,93,1.65e-05,0.1575
60,264914,94,1.48e-05,0.1571
60,264914,95,1.33e-05,0.1561
60,264914,96,1.21e-05,0.1560
60,264914,97,1.12e-05,0.1549
60,264914,98,1.05e-05,0.1547
60,264914,99,1.01e-05,0.1538
90,264915,0,1.00e-06,1.0685
90,264915,1,1.01e-04,1.0579
90,264915,2,2.01e-04,1.0083
90,264915,3,3.00e-04,0.9874
90,264915,4,4.00e-04,0.9761
90,264915,5,5.00e-04,0.9646
90,264915,6,5.00e-04,0.9449
90,264915,7,4.99e-04,0.9224
90,264915,8,4.99e-04,0.9000
90,264915,9,4.98e-04,0.8797
90,264915,10,4.97e-04,0.8601
90,264915,11,4.95e-04,0.8394
90,264915,12,4.93e-04,0.8218
90,264915,13,4.91e-04,0.7997
90,264915,14,4.89e-04,0.7716
90,264915,15,4.87e-04,0.7518
90,264915,16,4.84e-04,0.7268
90,264915,17,4.81e-04,0.7077
90,264915,18,4.78e-04,0.6895
90,264915,19,4.74e-04,0.6746
90,264915,20,4.70e-04,0.6574
90,264915,21,4.66e-04,0.6425
90,264915,22,4.62e-04,0.6274
90,264915,23,4.58e-04,0.6136
90,264915,24,4.53e-04,0.5991
90,264915,25,4.48e-04,0.5889
90,264915,26,4.43e-04,0.5757
90,264915,27,4.38e-04,0.5638
90,264915,28,4.32e-04,0.5534
90,264915,29,4.27e-04,0.5438
90,264915,30,4.21e-04,0.5343
90,264915,31,4.15e-04,0.5257
90,264915,32,4.09e-04,0.5143
90,264915,33,4.02e-04,0.5070
90,264915,34,3.96e-04,0.4998
90,264915,35,3.89e-04,0.4900
90,264915,36,3.82e-04,0.4812
90,264915,37,3.75e-04,0.4744
90,264915,38,3.68e-04,0.4664
90,264915,39,3.61e-04,0.4582
90,264915,40,3.53e-04,0.4522
90,264915,41,3.46e-04,0.4443
90,264915,42,3.38e-04,0.4383
90,264915,43,3.31e-04,0.4327
90,264915,44,3.23e-04,0.4257
90,264915,45,3.15e-04,0.4197
90,264915,46,3.07e-04,0.4134
90,264915,47,2.99e-04,0.4065
90,264915,48,2.91e-04,0.4007
90,264915,49,2.83e-04,0.3951
90,264915,50,2.75e-04,0.3897
90,264915,51,2.67e-04,0.3824
90,264915,52,2.59e-04,0.3785
90,264915,53,2.51e-04,0.3719
90,264915,54,2.43e-04,0.3659
90,264915,55,2.35e-04,0.3614
90,264915,56,2.27e-04,0.3575
90,264915,57,2.19e-04,0.3514
90,264915,58,2.11e-04,0.3450
90,264915,59,2.03e-04,0.3405
90,264915,60,1.95e-04,0.3361
90,264915,61,1.87e-04,0.3312
90,264915,62,1.79e-04,0.3263
90,264915,63,1.72e-04,0.3217
90,264915,64,1.64e-04,0.3168
90,264915,65,1.57e-04,0.3130
90,264915,66,1.49e-04,0.3089
90,264915,67,1.42e-04,0.3043
90,264915,68,1.35e-04,0.2993
90,264915,69,1.28e-04,0.2971
90,264915,70,1.21e-04,0.2913
90,264915,71,1.14e-04,0.2875
90,264915,72,1.08e-04,0.2843
90,264915,73,1.01e-04,0.2792
90,264915,74,9.51e-05,0.2767
90,264915,75,8.91e-05,0.2733
90,264915,76,8.32e-05,0.2701
90,264915,77,7.75e-05,0.2659
90,264915,78,7.20e-05,0.2632
90,264915,79,6.67e-05,0.2606
90,264915,80,6.17e-05,0.2567
90,264915,81,5.68e-05,0.2534
90,264915,82,5.21e-05,0.2517
90,264915,83,4.77e-05,0.2494
90,264915,84,4.35e-05,0.2468
90,264915,85,3.95e-05,0.2448
90,264915,86,3.58e-05,0.2418
90,264915,87,3.23e-05,0.2401
90,264915,88,2.90e-05,0.2382
90,264915,89,2.60e-05,0.2363
90,264915,90,2.33e-05,0.2352
90,264915,91,2.08e-05,0.2343
90,264915,92,1.85e-05,0.2320
90,264915,93,1.65e-05,0.2308
90,264915,94,1.48e-05,0.2300
90,264915,95,1.33e-05,0.2293
90,264915,96,1.21e-05,0.2287
90,264915,97,1.12e-05,0.2278
90,264915,98,1.05e-05,0.2272
90,264915,99,1.01e-05,0.2259
