# Per-epoch training curves for the four 250-epoch matched-budget arms.
# Source: SLURM stdout on the DoC NFS home, ~/msc_thesis/RoPART/in100-*-e250_<job>.out
# All ViT-B/32 @ 224, IN-100, P=32, bf16, variance balancing, 250 epochs, cosine to min_lr.
arm,job,epoch,lr,train_loss
baseline,269805,145,2.00e-04,0.1073
baseline,269805,146,1.97e-04,0.1066
baseline,269805,147,1.94e-04,0.1049
baseline,269805,148,1.91e-04,0.1043
baseline,269805,149,1.88e-04,0.1040
baseline,269805,150,1.85e-04,0.1030
baseline,269805,151,1.82e-04,0.1013
baseline,269805,152,1.79e-04,0.1016
baseline,269805,153,1.76e-04,0.1000
baseline,269805,154,1.73e-04,0.0989
baseline,269805,155,1.70e-04,0.0989
baseline,269805,156,1.67e-04,0.0973
baseline,269805,157,1.65e-04,0.0951
baseline,269805,158,1.62e-04,0.0963
baseline,269805,159,1.59e-04,0.0953
baseline,269805,160,1.56e-04,0.0942
baseline,269805,161,1.53e-04,0.0939
baseline,269805,162,1.50e-04,0.0917
baseline,269805,163,1.47e-04,0.0915
baseline,269805,164,1.44e-04,0.0912
baseline,269805,165,1.42e-04,0.0900
baseline,269805,166,1.39e-04,0.0897
baseline,269805,167,1.36e-04,0.0890
baseline,269805,168,1.33e-04,0.0890
baseline,269805,169,1.31e-04,0.0875
baseline,269805,170,1.28e-04,0.0860
baseline,269805,171,1.25e-04,0.0850
baseline,269805,172,1.23e-04,0.0835
baseline,269805,173,1.20e-04,0.0839
baseline,269805,174,1.17e-04,0.0828
baseline,269805,175,1.15e-04,0.0817
baseline,269805,176,1.12e-04,0.0812
baseline,269805,177,1.10e-04,0.0799
baseline,269805,178,1.07e-04,0.0805
baseline,269805,179,1.05e-04,0.0789
baseline,269805,180,1.02e-04,0.0783
baseline,269805,181,9.98e-05,0.0774
baseline,269805,182,9.74e-05,0.0767
baseline,269805,183,9.50e-05,0.0767
baseline,269805,184,9.26e-05,0.0755
baseline,269805,185,9.03e-05,0.0746
baseline,269805,186,8.80e-05,0.0735
baseline,269805,187,8.57e-05,0.0730
baseline,269805,188,8.34e-05,0.0728
baseline,269805,189,8.12e-05,0.0727
baseline,269805,190,7.90e-05,0.0716
baseline,269805,191,7.68e-05,0.0704
baseline,269805,192,7.47e-05,0.0703
baseline,269805,193,7.26e-05,0.0693
baseline,269805,194,7.05e-05,0.0683
baseline,269805,195,6.84e-05,0.0684
baseline,269805,196,6.64e-05,0.0677
baseline,269805,197,6.44e-05,0.0675
baseline,269805,198,6.25e-05,0.0665
baseline,269805,199,6.05e-05,0.0658
baseline,269805,200,5.87e-05,0.0648
baseline,269805,201,5.68e-05,0.0643
baseline,269805,202,5.50e-05,0.0641
baseline,269805,203,5.32e-05,0.0636
baseline,269805,204,5.14e-05,0.0628
baseline,269805,205,4.97e-05,0.0627
baseline,269805,206,4.80e-05,0.0618
baseline,269805,207,4.63e-05,0.0616
baseline,269805,208,4.47e-05,0.0610
baseline,269805,209,4.31e-05,0.0603
baseline,269805,210,4.15e-05,0.0598
baseline,269805,211,4.00e-05,0.0599
baseline,269805,212,3.85e-05,0.0594
baseline,269805,213,3.71e-05,0.0585
baseline,269805,214,3.56e-05,0.0582
baseline,269805,215,3.43e-05,0.0577
baseline,269805,216,3.29e-05,0.0576
baseline,269805,217,3.16e-05,0.0568
baseline,269805,218,3.03e-05,0.0565
baseline,269805,219,2.91e-05,0.0565
baseline,269805,220,2.79e-05,0.0559
baseline,269805,221,2.67e-05,0.0555
baseline,269805,222,2.56e-05,0.0551
baseline,269805,223,2.45e-05,0.0552
baseline,269805,224,2.35e-05,0.0545
baseline,269805,225,2.25e-05,0.0540
baseline,269805,226,2.15e-05,0.0542
baseline,269805,227,2.06e-05,0.0540
baseline,269805,228,1.97e-05,0.0536
baseline,269805,229,1.88e-05,0.0529
baseline,269805,230,1.80e-05,0.0527
baseline,269805,231,1.72e-05,0.0526
baseline,269805,232,1.65e-05,0.0522
baseline,269805,233,1.58e-05,0.0526
baseline,269805,234,1.51e-05,0.0519
baseline,269805,235,1.45e-05,0.0514
baseline,269805,236,1.39e-05,0.0515
baseline,269805,237,1.34e-05,0.0516
baseline,269805,238,1.29e-05,0.0511
baseline,269805,239,1.24e-05,0.0511
baseline,269805,240,1.20e-05,0.0510
baseline,269805,241,1.16e-05,0.0508
baseline,269805,242,1.13e-05,0.0508
baseline,269805,243,1.10e-05,0.0508
baseline,269805,244,1.07e-05,0.0505
baseline,269805,245,1.05e-05,0.0500
baseline,269805,246,1.03e-05,0.0506
baseline,269805,247,1.02e-05,0.0501
baseline,269805,248,1.01e-05,0.0504
baseline,269805,249,1.00e-05,0.0500
rot_unsup,269807,0,1.00e-06,0.9434
